p_id,rush_attempts,rush_yards,rush_touchdowns,longest_rush,times_pass_target,receptions,receiving_yards,receiving_touchdowns,longest_reception,fumbles,fumbles_lost,abbr,game_key,isHome,wy,position
GileJi00,1,-1,0,-1,0,5,57,0,23,0,0,TAM,197809020tam,True,1 | 1978,TE
SawyJo00,0,0,0,0,0,1,7,0,7,0,0,SEA,197809030sea,True,1 | 1978,TE
KleiBo00,0,0,0,0,0,1,13,0,13,0,0,SDG,197809030sea,False,1 | 1978,TE
DuprBi00,0,0,0,0,0,2,11,1,8,0,0,DAL,197809040dal,True,1 | 1978,TE
SaldJa00,0,0,0,0,0,1,1,1,1,0,0,DAL,197809040dal,True,1 | 1978,TE
McCaRe00,0,0,0,0,0,3,53,0,34,0,0,CLT,197809040dal,False,1 | 1978,TE
GileJi00,0,0,0,0,0,2,37,0,21,0,0,TAM,197809090tam,True,2 | 1978,TE
HillDa01,0,0,0,0,0,1,-2,0,-2,0,0,DET,197809090tam,False,2 | 1978,TE
McGeRi00,0,0,0,0,0,1,9,1,9,0,0,GNB,197809100gnb,True,2 | 1978,TE
ChilHe00,1,-3,0,-3,0,3,44,0,21,0,0,NOR,197809100gnb,False,2 | 1978,TE
HardLa00,0,0,0,0,0,1,5,0,5,0,0,NOR,197809100gnb,False,2 | 1978,TE
ShirGa00,0,0,0,0,0,3,72,0,45,0,0,NYG,197809100nyg,True,2 | 1978,TE
DixoAl00,0,0,0,0,0,2,15,1,11,0,0,NYG,197809100nyg,True,2 | 1978,TE
DuprBi00,0,0,0,0,0,3,33,1,20,0,0,DAL,197809100nyg,False,2 | 1978,TE
SaldJa00,0,0,0,0,0,1,2,1,2,0,0,DAL,197809100nyg,False,2 | 1978,TE
CunnBe00,0,0,0,0,0,4,45,0,16,0,0,PIT,197809100pit,True,2 | 1978,TE
GrosRa00,0,0,0,0,0,1,11,0,11,0,0,PIT,197809100pit,True,2 | 1978,TE
HowaRo00,0,0,0,0,0,1,42,0,42,0,0,SEA,197809100pit,False,2 | 1978,TE
FugeJe00,0,0,0,0,0,3,76,2,49,0,0,WAS,197809100was,True,2 | 1978,TE
KrepKe00,0,0,0,0,0,1,9,0,9,0,0,PHI,197809100was,False,2 | 1978,TE
NewsOz00,0,0,0,0,0,3,42,0,18,0,0,CLE,197809100cle,True,2 | 1978,TE
WalkRi00,0,0,0,0,0,2,32,0,22,0,0,CIN,197809100cle,False,2 | 1978,TE
CorbJa00,0,0,0,0,0,1,14,0,14,0,0,CIN,197809100cle,False,2 | 1978,TE
RamsEa00,0,0,0,0,0,4,42,0,13,0,0,CRD,197809100crd,True,2 | 1978,TE
ThaxJi00,0,0,0,0,0,1,16,0,16,0,0,CRD,197809100crd,True,2 | 1978,TE
FranRu00,0,0,0,0,0,6,74,1,24,0,0,NWE,197809100crd,False,2 | 1978,TE
WhitWa00,0,0,0,0,0,1,-8,0,-8,0,0,KAN,197809100kan,True,2 | 1978,TE
BeckEd00,0,0,0,0,0,0,0,0,0,0,0,KAN,197809100kan,True,2 | 1978,TE
BarbMi01,0,0,0,0,0,1,17,0,17,0,0,OTI,197809100kan,False,2 | 1978,TE
GantRe00,0,0,0,0,0,6,100,1,24,0,0,BUF,197809100buf,True,2 | 1978,TE
BarkJe00,0,0,0,0,0,2,17,2,14,0,0,NYJ,197809100buf,False,2 | 1978,TE
McCaRe00,0,0,0,0,0,2,25,0,15,0,0,CLT,197809100clt,True,2 | 1978,TE
AlstMa00,0,0,0,0,0,1,7,0,7,0,0,CLT,197809100clt,True,2 | 1978,TE
TillAn00,0,0,0,0,0,2,24,1,14,0,0,MIA,197809100clt,False,2 | 1978,TE
McCrLo00,0,0,0,0,0,1,12,0,12,0,0,MIA,197809100clt,False,2 | 1978,TE
HardBr00,0,0,0,0,0,1,2,1,2,0,0,MIA,197809100clt,False,2 | 1978,TE
NelsTe00,0,0,0,0,0,2,32,0,18,0,0,RAM,197809100ram,True,2 | 1978,TE
CurrPa00,0,0,0,0,0,1,14,1,14,0,0,SDG,197809100sdg,True,2 | 1978,TE
KleiBo00,0,0,0,0,0,1,8,0,8,0,0,SDG,197809100sdg,True,2 | 1978,TE
CaspDa00,0,0,0,0,0,5,100,1,44,0,0,RAI,197809100sdg,False,2 | 1978,TE
ChesRa00,0,0,0,0,0,1,27,0,27,0,0,RAI,197809100sdg,False,2 | 1978,TE
MacAKe21,0,0,0,0,0,1,9,0,9,0,0,SFO,197809100sfo,True,2 | 1978,TE
EarlRo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197809100sfo,False,2 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197809100sfo,False,2 | 1978,TE
TuckBo00,0,0,0,0,0,1,6,0,6,0,0,MIN,197809110min,True,2 | 1978,TE
OdomRi00,0,0,0,0,0,2,41,0,28,0,0,DEN,197809110min,False,2 | 1978,TE
EgloRo00,0,0,0,0,0,1,15,0,15,0,0,DEN,197809110min,False,2 | 1978,TE
MitcJi00,0,0,0,0,0,3,42,0,18,0,0,ATL,197809170atl,True,3 | 1978,TE
NewsOz00,1,6,0,6,0,4,19,1,13,0,0,CLE,197809170atl,False,3 | 1978,TE
ParrGa00,0,0,0,0,0,1,4,0,4,0,0,CLE,197809170atl,False,3 | 1978,TE
CorbJa00,0,0,0,0,0,1,9,0,9,0,0,CIN,197809170cin,True,3 | 1978,TE
CunnBe00,0,0,0,0,0,4,107,1,48,0,0,PIT,197809170cin,False,3 | 1978,TE
GrosRa00,0,0,0,0,0,1,18,0,18,0,0,PIT,197809170cin,False,3 | 1978,TE
EarlRo00,1,9,0,9,0,0,0,0,0,0,0,CHI,197809170det,False,3 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197809170det,False,3 | 1978,TE
DixoAl00,0,0,0,0,0,4,73,0,46,0,0,NYG,197809170nyg,True,3 | 1978,TE
WhitWa00,0,0,0,0,0,3,37,0,13,0,0,KAN,197809170nyg,False,3 | 1978,TE
BarkJe00,0,0,0,0,0,1,27,0,27,0,0,NYJ,197809170nyj,True,3 | 1978,TE
HowaRo00,0,0,0,0,0,1,7,0,7,0,0,SEA,197809170nyj,False,3 | 1978,TE
ThaxJi00,0,0,0,0,0,1,14,0,14,0,0,CRD,197809170crd,True,3 | 1978,TE
HaynRe00,1,13,0,13,0,0,0,0,0,0,0,WAS,197809170crd,False,3 | 1978,TE
FugeJe00,0,0,0,0,0,1,14,1,14,0,0,WAS,197809170crd,False,3 | 1978,TE
CaspDa00,0,0,0,0,0,3,41,1,20,0,0,RAI,197809170gnb,False,3 | 1978,TE
TuckBo00,0,0,0,0,0,3,37,0,14,0,0,MIN,197809170min,True,3 | 1978,TE
GileJi00,0,0,0,0,0,1,21,0,21,0,0,TAM,197809170min,False,3 | 1978,TE
ChilHe00,0,0,0,0,0,1,17,0,17,0,0,NOR,197809170nor,True,3 | 1978,TE
HardLa00,0,0,0,0,0,0,0,0,0,0,0,NOR,197809170nor,True,3 | 1978,TE
KrepKe00,0,0,0,0,0,2,37,1,20,0,0,PHI,197809170nor,False,3 | 1978,TE
OsboRi00,0,0,0,0,0,1,8,0,8,0,0,PHI,197809170nor,False,3 | 1978,TE
CastRi00,1,6,0,6,0,1,14,0,14,0,0,OTI,197809170oti,True,3 | 1978,TE
BarbMi01,0,0,0,0,0,5,56,0,17,0,0,OTI,197809170oti,True,3 | 1978,TE
SealPa00,0,0,0,0,0,2,23,1,15,0,0,SFO,197809170oti,False,3 | 1978,TE
MacAKe21,0,0,0,0,0,2,22,0,19,0,0,SFO,197809170oti,False,3 | 1978,TE
OdomRi00,0,0,0,0,0,5,69,0,32,0,0,DEN,197809170den,True,3 | 1978,TE
EgloRo00,0,0,0,0,0,2,11,1,9,0,0,DEN,197809170den,True,3 | 1978,TE
KleiBo00,0,0,0,0,0,2,31,0,23,0,0,SDG,197809170den,False,3 | 1978,TE
TillAn00,0,0,0,0,0,2,15,1,9,0,0,MIA,197809170mia,True,3 | 1978,TE
GantRe00,0,0,0,0,0,2,44,0,22,0,0,BUF,197809170mia,False,3 | 1978,TE
DuprBi00,0,0,0,0,0,1,14,1,14,0,0,DAL,197809170ram,False,3 | 1978,TE
SaldJa00,0,0,0,0,0,1,5,0,5,0,0,DAL,197809170ram,False,3 | 1978,TE
HassDo00,0,0,0,0,0,3,32,0,14,0,0,NWE,197809180nwe,True,3 | 1978,TE
GantRe00,0,0,0,0,0,2,31,1,19,0,0,BUF,197809240buf,True,4 | 1978,TE
AlstMa00,0,0,0,0,0,4,49,0,23,0,0,CLT,197809240buf,False,4 | 1978,TE
CorbJa00,0,0,0,0,0,2,31,0,16,0,0,CIN,197809240cin,True,4 | 1978,TE
ChilHe00,0,0,0,0,0,3,81,0,49,0,0,NOR,197809240cin,False,4 | 1978,TE
BarbMi01,0,0,0,0,0,2,44,0,23,0,0,OTI,197809240oti,True,4 | 1978,TE
NelsTe00,0,0,0,0,0,6,98,0,26,0,0,RAM,197809240oti,False,4 | 1978,TE
KrepKe00,0,0,0,0,0,3,27,0,14,0,0,PHI,197809240phi,True,4 | 1978,TE
CunnBe00,0,0,0,0,0,2,69,1,37,0,0,PIT,197809240pit,True,4 | 1978,TE
NewsOz00,2,24,0,15,0,2,19,0,12,0,0,CLE,197809240pit,False,4 | 1978,TE
FugeJe00,0,0,0,0,0,3,35,1,20,0,0,WAS,197809240was,True,4 | 1978,TE
BarkJe00,0,0,0,0,0,3,60,0,22,0,0,NYJ,197809240was,False,4 | 1978,TE
WhitWa00,0,0,0,0,0,2,30,0,24,0,0,KAN,197809240kan,True,4 | 1978,TE
OdomRi00,0,0,0,0,0,4,60,1,42,0,0,DEN,197809240kan,False,4 | 1978,TE
EgloRo00,0,0,0,0,0,1,7,0,7,0,0,DEN,197809240kan,False,4 | 1978,TE
DuprBi00,0,0,0,0,0,2,39,0,27,0,0,DAL,197809240dal,True,4 | 1978,TE
RamsEa00,0,0,0,0,0,2,31,0,25,0,0,CRD,197809240dal,False,4 | 1978,TE
DixoAl00,0,0,0,0,0,2,56,1,29,0,0,NYG,197809240nyg,True,4 | 1978,TE
ShirGa00,0,0,0,0,0,1,20,0,20,0,0,NYG,197809240nyg,True,4 | 1978,TE
MacAKe21,0,0,0,0,0,3,27,0,13,0,0,SFO,197809240nyg,False,4 | 1978,TE
CurrPa00,0,0,0,0,0,1,4,0,4,0,0,SDG,197809240sdg,True,4 | 1978,TE
McGeRi00,0,0,0,0,0,1,10,0,10,0,0,GNB,197809240sdg,False,4 | 1978,TE
SawyJo00,0,0,0,0,0,1,18,0,18,0,0,SEA,197809240sea,True,4 | 1978,TE
HowaRo00,0,0,0,0,0,2,15,1,11,0,0,SEA,197809240sea,True,4 | 1978,TE
HillDa01,0,0,0,0,0,3,29,0,15,0,0,DET,197809240sea,False,4 | 1978,TE
ObraJi00,0,0,0,0,0,2,36,1,21,0,0,TAM,197809240tam,True,4 | 1978,TE
CaspDa00,0,0,0,0,0,4,55,1,19,0,0,RAI,197809240rai,True,4 | 1978,TE
ChesRa00,0,0,0,0,0,1,14,0,14,0,0,RAI,197809240rai,True,4 | 1978,TE
RamsDe00,0,0,0,0,0,0,0,0,0,0,0,RAI,197809240rai,True,4 | 1978,TE
FranRu00,0,0,0,0,0,5,126,1,53,0,0,NWE,197809240rai,False,4 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197809250chi,True,4 | 1978,TE
LattGr00,0,0,0,0,0,4,35,0,14,0,0,CHI,197809250chi,True,4 | 1978,TE
TuckBo00,0,0,0,0,0,2,21,0,19,0,0,MIN,197809250chi,False,4 | 1978,TE
MitcJi00,0,0,0,0,0,3,54,0,22,0,0,ATL,197810010atl,True,5 | 1978,TE
DixoAl00,0,0,0,0,0,2,45,0,26,0,0,NYG,197810010atl,False,5 | 1978,TE
GantRe00,0,0,0,0,0,2,14,0,7,0,0,BUF,197810010buf,True,5 | 1978,TE
WhitWa00,0,0,0,0,0,5,60,0,18,0,0,KAN,197810010buf,False,5 | 1978,TE
NewsOz00,0,0,0,0,0,2,11,0,8,0,0,CLE,197810010cle,True,5 | 1978,TE
CastRi00,0,0,0,0,0,2,49,1,41,0,0,OTI,197810010cle,False,5 | 1978,TE
BarbMi01,0,0,0,0,0,2,11,0,9,0,0,OTI,197810010cle,False,5 | 1978,TE
TillAn00,0,0,0,0,0,1,17,0,17,0,0,MIA,197810010mia,True,5 | 1978,TE
RamsEa00,1,3,0,3,0,2,22,0,13,0,0,CRD,197810010mia,False,5 | 1978,TE
ThaxJi00,0,0,0,0,0,1,1,1,1,0,0,CRD,197810010mia,False,5 | 1978,TE
FranRu00,0,0,0,0,0,5,64,1,25,0,0,NWE,197810010nwe,True,5 | 1978,TE
KleiBo00,0,0,0,0,0,1,23,0,23,0,0,SDG,197810010nwe,False,5 | 1978,TE
CurrPa00,0,0,0,0,0,1,3,1,3,0,0,SDG,197810010nwe,False,5 | 1978,TE
CunnBe00,0,0,0,0,0,1,2,0,2,0,0,PIT,197810010nyj,False,5 | 1978,TE
GileJi00,0,0,0,0,0,3,36,0,16,0,0,TAM,197810010tam,True,5 | 1978,TE
VoigSt00,0,0,0,0,0,2,44,0,27,0,0,MIN,197810010tam,False,5 | 1978,TE
TuckBo00,0,0,0,0,0,2,14,0,10,0,0,MIN,197810010tam,False,5 | 1978,TE
CraiSt00,0,0,0,0,0,1,7,0,7,0,0,MIN,197810010tam,False,5 | 1978,TE
AlstMa00,0,0,0,0,0,3,37,0,21,0,0,CLT,197810010clt,True,5 | 1978,TE
KrepKe00,0,0,0,0,0,2,32,1,20,0,0,PHI,197810010clt,False,5 | 1978,TE
OsboRi00,0,0,0,0,0,1,-2,0,-2,0,0,PHI,197810010clt,False,5 | 1978,TE
McGeRi00,0,0,0,0,0,2,19,0,17,0,0,GNB,197810010gnb,True,5 | 1978,TE
HillDa01,0,0,0,0,0,2,19,0,14,0,0,DET,197810010gnb,False,5 | 1978,TE
ChilHe00,0,0,0,0,0,4,67,0,25,0,0,NOR,197810010nor,True,5 | 1978,TE
HardLa00,0,0,0,0,0,0,0,0,0,0,0,NOR,197810010nor,True,5 | 1978,TE
NelsTe00,1,14,0,14,0,1,50,0,50,0,0,RAM,197810010nor,False,5 | 1978,TE
YounCh00,0,0,0,0,0,1,5,0,5,0,0,RAM,197810010nor,False,5 | 1978,TE
LattGr00,0,0,0,0,0,2,33,0,21,0,0,CHI,197810010chi,True,5 | 1978,TE
EarlRo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197810010chi,True,5 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197810010chi,True,5 | 1978,TE
CaspDa00,0,0,0,0,0,2,40,0,23,0,0,RAI,197810010chi,False,5 | 1978,TE
ChesRa00,0,0,0,0,0,2,25,0,16,0,0,RAI,197810010chi,False,5 | 1978,TE
OdomRi00,0,0,0,0,0,3,45,0,30,0,0,DEN,197810010den,True,5 | 1978,TE
HowaRo00,0,0,0,0,0,2,15,0,15,0,0,SEA,197810010den,False,5 | 1978,TE
MacAKe21,0,0,0,0,0,3,25,0,12,0,0,SFO,197810010sfo,True,5 | 1978,TE
CorbJa00,0,0,0,0,0,3,77,0,51,0,0,CIN,197810010sfo,False,5 | 1978,TE
DuprBi00,0,0,0,0,0,3,48,0,29,0,0,DAL,197810020was,False,5 | 1978,TE
HillDa01,0,0,0,0,0,4,54,0,15,0,0,DET,197810080det,True,6 | 1978,TE
FugeJe00,0,0,0,0,0,2,34,1,21,0,0,WAS,197810080det,False,6 | 1978,TE
FranRu00,0,0,0,0,0,2,11,0,7,0,0,NWE,197810080nwe,True,6 | 1978,TE
KrepKe00,0,0,0,0,0,5,57,0,16,0,0,PHI,197810080nwe,False,6 | 1978,TE
BarkJe00,0,0,0,0,0,2,41,0,25,0,0,NYJ,197810080nyj,True,6 | 1978,TE
GantRe00,0,0,0,0,0,2,23,1,16,0,0,BUF,197810080nyj,False,6 | 1978,TE
CunnBe00,0,0,0,0,0,2,28,0,22,0,0,PIT,197810080pit,True,6 | 1978,TE
GrosRa00,0,0,0,0,0,1,16,0,16,0,0,PIT,197810080pit,True,6 | 1978,TE
MitcJi00,0,0,0,0,0,1,7,0,7,0,0,ATL,197810080pit,False,6 | 1978,TE
RamsEa00,0,0,0,0,0,4,41,0,11,0,0,CRD,197810080crd,True,6 | 1978,TE
AlstMa00,0,0,0,0,0,1,10,1,10,0,0,CLT,197810080crd,False,6 | 1978,TE
McCaRe00,0,0,0,0,0,0,0,0,0,0,0,CLT,197810080crd,False,6 | 1978,TE
DuprBi00,0,0,0,0,0,1,23,1,23,0,0,DAL,197810080dal,True,6 | 1978,TE
McGeRi00,0,0,0,0,0,0,0,0,0,0,0,GNB,197810080gnb,True,6 | 1978,TE
LattGr00,0,0,0,0,0,1,2,0,2,0,0,CHI,197810080gnb,False,6 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197810080gnb,False,6 | 1978,TE
WhitWa00,0,0,0,0,0,3,26,0,15,0,0,KAN,197810080kan,True,6 | 1978,TE
BeckEd00,0,0,0,0,0,0,0,0,0,0,0,KAN,197810080kan,True,6 | 1978,TE
GileJi00,0,0,0,0,0,1,38,0,38,0,0,TAM,197810080kan,False,6 | 1978,TE
ObraJi00,0,0,0,0,0,1,9,0,9,0,0,TAM,197810080kan,False,6 | 1978,TE
ChilHe00,0,0,0,0,0,7,86,0,27,0,0,NOR,197810080nor,True,6 | 1978,TE
NewsOz00,1,8,0,8,0,4,35,1,14,0,0,CLE,197810080nor,False,6 | 1978,TE
CaspDa00,0,0,0,0,0,4,33,1,11,0,0,RAI,197810080rai,True,6 | 1978,TE
BarbMi01,0,0,0,0,0,2,27,1,17,0,0,OTI,197810080rai,False,6 | 1978,TE
CastRi00,0,0,0,0,0,1,24,0,24,0,0,OTI,197810080rai,False,6 | 1978,TE
SealPa00,0,0,0,0,0,2,58,0,30,0,0,SFO,197810080ram,False,6 | 1978,TE
CurrPa00,0,0,0,0,0,3,30,0,15,0,0,SDG,197810080sdg,True,6 | 1978,TE
KleiBo00,0,0,0,0,0,2,22,0,16,0,0,SDG,197810080sdg,True,6 | 1978,TE
OdomRi00,0,0,0,0,0,3,37,0,16,0,0,DEN,197810080sdg,False,6 | 1978,TE
HowaRo00,0,0,0,0,0,2,26,0,23,0,0,SEA,197810080sea,True,6 | 1978,TE
TuckBo00,0,0,0,0,0,4,40,0,16,0,0,MIN,197810080sea,False,6 | 1978,TE
CraiSt00,0,0,0,0,0,2,17,0,9,0,0,MIN,197810080sea,False,6 | 1978,TE
VoigSt00,0,0,0,0,0,1,5,0,5,0,0,MIN,197810080sea,False,6 | 1978,TE
TillAn00,0,0,0,0,0,2,22,0,17,0,0,MIA,197810090mia,True,6 | 1978,TE
HillDa01,0,0,0,0,0,2,27,0,15,0,0,DET,197810150atl,False,7 | 1978,TE
WalkRi00,0,0,0,0,0,6,56,0,21,0,0,CIN,197810150cin,True,7 | 1978,TE
FranRu00,0,0,0,0,0,3,42,0,17,0,0,NWE,197810150cin,False,7 | 1978,TE
NewsOz00,1,4,0,4,0,3,47,0,34,0,0,CLE,197810150cle,True,7 | 1978,TE
GrosRa00,0,0,0,0,0,2,25,0,14,0,0,PIT,197810150cle,False,7 | 1978,TE
McGeRi00,0,0,0,0,0,1,7,0,7,0,0,GNB,197810150gnb,True,7 | 1978,TE
HowaRo00,0,0,0,0,0,3,63,0,42,0,0,SEA,197810150gnb,False,7 | 1978,TE
ObraJi00,0,0,0,0,0,3,45,0,17,0,0,TAM,197810150nyg,False,7 | 1978,TE
KrepKe00,0,0,0,0,0,2,41,0,26,0,0,PHI,197810150phi,True,7 | 1978,TE
FugeJe00,0,0,0,0,0,1,8,0,8,0,0,WAS,197810150phi,False,7 | 1978,TE
AlstMa00,0,0,0,0,0,2,25,0,18,0,0,CLT,197810150clt,True,7 | 1978,TE
ShulMi00,0,0,0,0,0,1,3,1,3,0,0,NYJ,197810150clt,False,7 | 1978,TE
RamsEa00,1,5,0,5,0,4,56,0,26,0,0,CRD,197810150crd,True,7 | 1978,TE
DuprBi00,0,0,0,0,0,2,32,0,20,0,0,DAL,197810150crd,False,7 | 1978,TE
BarbMi01,1,1,0,1,0,1,14,0,14,0,0,OTI,197810150oti,True,7 | 1978,TE
CastRi00,0,0,0,0,0,1,4,1,4,0,0,OTI,197810150oti,True,7 | 1978,TE
GantRe00,0,0,0,0,0,1,6,0,6,0,0,BUF,197810150oti,False,7 | 1978,TE
TuckBo00,0,0,0,0,0,2,11,0,15,0,0,MIN,197810150min,True,7 | 1978,TE
NelsTe00,2,22,0,17,0,1,16,0,16,0,0,RAM,197810150min,False,7 | 1978,TE
CaspDa00,0,0,0,0,0,5,51,1,22,0,0,RAI,197810150rai,True,7 | 1978,TE
ChesRa00,0,0,0,0,0,0,0,0,0,0,0,RAI,197810150rai,True,7 | 1978,TE
WhitWa00,0,0,0,0,0,5,30,0,11,0,0,KAN,197810150rai,False,7 | 1978,TE
KleiBo00,0,0,0,0,0,3,36,0,14,0,0,SDG,197810150sdg,True,7 | 1978,TE
TillAn00,0,0,0,0,0,1,14,0,14,0,0,MIA,197810150sdg,False,7 | 1978,TE
McCrLo00,0,0,0,0,0,1,5,1,5,0,0,MIA,197810150sdg,False,7 | 1978,TE
MacAKe21,0,0,0,0,0,2,11,0,7,0,0,SFO,197810150sfo,True,7 | 1978,TE
SealPa00,0,0,0,0,0,1,8,0,8,0,0,SFO,197810150sfo,True,7 | 1978,TE
OdomRi00,0,0,0,0,0,4,52,0,21,0,0,DEN,197810160den,True,7 | 1978,TE
LattGr00,0,0,0,0,0,1,1,0,1,0,0,CHI,197810160den,False,7 | 1978,TE
ParsBo00,0,0,0,0,0,0,0,0,0,0,0,CHI,197810160den,False,7 | 1978,TE
GantRe00,0,0,0,0,0,3,26,0,11,0,0,BUF,197810220buf,True,8 | 1978,TE
WalkRi00,0,0,0,0,0,1,4,0,4,0,0,CIN,197810220buf,False,8 | 1978,TE
FugeJe00,0,0,0,0,0,1,8,0,8,0,0,WAS,197810220nyg,False,8 | 1978,TE
BarkJe00,0,0,0,0,0,1,7,0,7,0,0,NYJ,197810220nyj,True,8 | 1978,TE
ChanAl00,0,0,0,0,0,1,16,0,16,0,0,CRD,197810220nyj,False,8 | 1978,TE
ObraJi00,0,0,0,0,0,1,28,1,28,0,0,TAM,197810220tam,True,8 | 1978,TE
ParsBo00,1,0,0,0,0,0,0,0,0,0,0,CHI,197810220tam,False,8 | 1978,TE
LattGr00,0,0,0,0,0,0,0,0,0,0,0,CHI,197810220tam,False,8 | 1978,TE
DuprBi00,1,15,0,15,0,0,0,0,0,0,0,DAL,197810220dal,True,8 | 1978,TE
KrepKe00,0,0,0,0,0,4,100,1,34,0,0,PHI,197810220dal,False,8 | 1978,TE
HillDa01,0,0,0,0,0,3,29,0,12,0,0,DET,197810220det,True,8 | 1978,TE
KleiBo00,0,0,0,0,0,3,57,0,24,0,0,SDG,197810220det,False,8 | 1978,TE
WhitWa00,0,0,0,0,0,1,5,0,5,0,0,KAN,197810220kan,True,8 | 1978,TE
NewsOz00,1,-3,0,-3,0,1,12,0,12,0,0,CLE,197810220kan,False,8 | 1978,TE
TuckBo00,0,0,0,0,0,1,20,0,20,0,0,MIN,197810220min,True,8 | 1978,TE
McGeRi00,0,0,0,0,0,4,40,0,18,0,0,GNB,197810220min,False,8 | 1978,TE
OdomRi00,0,0,0,0,0,4,46,0,22,0,0,DEN,197810220clt,False,8 | 1978,TE
HassDo00,0,0,0,0,0,2,41,0,24,0,0,NWE,197810220nwe,True,8 | 1978,TE
FranRu00,0,0,0,0,0,1,29,0,29,0,0,NWE,197810220nwe,True,8 | 1978,TE
TillAn00,0,0,0,0,0,8,89,1,23,0,0,MIA,197810220nwe,False,8 | 1978,TE
HardBr00,0,0,0,0,0,0,0,0,0,0,0,MIA,197810220nwe,False,8 | 1978,TE
NelsTe00,0,0,0,0,0,2,23,0,12,0,0,RAM,197810220ram,True,8 | 1978,TE
ChilHe00,0,0,0,0,0,4,60,0,23,0,0,NOR,197810220ram,False,8 | 1978,TE
HowaRo00,0,0,0,0,0,2,27,0,18,0,0,SEA,197810220sea,True,8 | 1978,TE
PeetBr00,0,0,0,0,0,1,14,0,14,0,0,SEA,197810220sea,True,8 | 1978,TE
CaspDa00,0,0,0,0,0,1,8,0,8,0,0,RAI,197810220sea,False,8 | 1978,TE
